last row_number: -1, last_time: -9999
this row_number: 0, this_time: 1.4690999832
last row_number: 5656573, last_time: 0.00079547982295
this row_number: 5656574, this_time: 11.540799987
last row_number: 50085877, last_time: 0.00069548217471
this row_number: 50085878, this_time: 14.18059999
last row_number: 104677355, last_time: 0.00079548506392
this row_number: 104677356, this_time: 8.8566999914
last row_number: 138772452, last_time: 0.0010954868681
this row_number: 138772453, this_time: 12.693999994
last row_number: 187641819, last_time: 0.0005954894541
this row_number: 187641820, this_time: 8.0554999956
last row_number: 218652629, last_time: 0.0010954910954
this row_number: 218652630, this_time: 7.058999997
last row_number: 245829584, last_time: 0.00049549253299
this row_number: 245829585, this_time: 16.1074
last row_number: 307838916, last_time: 0.00069549581485
this row_number: 307838917, this_time: 7.9056000019
last row_number: 338276286, last_time: 0.00019549742592
this row_number: 338276287, this_time: 9.6371000039
last row_number: 375377847, last_time: 0.00049549938876
this row_number: 375377848, this_time: 11.426400006
last row_number: 419368879, last_time: 0.00019550171692
this row_number: 419368880, this_time: 11.024200008
last row_number: 461811622, last_time: 9.5503963166e-05
this row_number: 461811623, this_time: 8.8281000103
last row_number: 495800224, last_time: 9.5505761692e-05
this row_number: 495800225, this_time: 8.566000012
last row_number: 528777114, last_time: 0.00089550750727
this row_number: 528777115, this_time: 14.751800015
last row_number: 585568143, last_time: 0.00059551051299
this row_number: 585568144, this_time: 9.4595000169
last row_number: 621985672, last_time: 0.0005955124393
this row_number: 621985673, this_time: 11.618600019
